0 : 0.914942		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
1 : 0.849517		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
2 : 0.781948		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
3 : 0.713045		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
4 : 0.641909		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
5 : 0.570291		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
6 : 0.505855		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
7 : 0.448244		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
8 : 0.396687		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
9 : 0.355514		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
10 : 0.313839		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
11 : 0.279242		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
12 : 0.249459		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
13 : 0.227368		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
14 : 0.20752		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
15 : 0.19741		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
16 : 0.190191		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
17 : 0.191295		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
18 : 0.191542		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
19 : 0.190496		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
20 : 0.189295		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
21 : 0.191281		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
22 : 0.192046		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
23 : 0.19386		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
24 : 0.189755		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
25 : 0.189		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
26 : 0.185887		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
27 : 0.185794		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
28 : 0.185441		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
29 : 0.187988		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
30 : 0.187977		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
31 : 0.18901		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
32 : 0.189378		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
33 : 0.187625		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
34 : 0.185471		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
35 : 0.18612		¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á¡á
